level $1616$ complete, p/sec ratio: @2.799579354180281@
level $1617$ complete, p/sec ratio: @2.1730428786686673@
level $1618$ complete, p/sec ratio: @2.4708633448670176@
level $1619$ complete, p/sec ratio: @3.1050150427593395@
level $1620$ complete, p/sec ratio: @2.4698228201232335@
level $1621$ complete, p/sec ratio: @2.3942847698790817@
level $1622$ complete, p/sec ratio: @2.6918933275398604@
level $1623$ complete, p/sec ratio: @2.5355509683585327@
level $1624$ complete, p/sec ratio: @2.924787690616499@
level $1625$ complete, p/sec ratio: @2.3930944682492328@
level $1625$ complete, p/sec ratio: @2.0101866000219717@
level $1626$ complete, p/sec ratio: @2.6031338101143633@
level $1627$ complete, p/sec ratio: @2.492837693624621@
level $1628$ complete, p/sec ratio: @3.47848340223911@
level $1629$ complete, p/sec ratio: @1.7464443767461664@
level $1630$ complete, p/sec ratio: @2.80265269802879@
level $1631$ complete, p/sec ratio: @2.6998933723639365@
level $1632$ complete, p/sec ratio: @2.453784962043044@
level $1633$ complete, p/sec ratio: @2.597119016495236@
level $1634$ complete, p/sec ratio: @2.770892306138845@
level $1635$ complete, p/sec ratio: @2.962885775988635@
level $1636$ complete, p/sec ratio: @2.2174654611851814@
level $1637$ complete, p/sec ratio: @2.7552300990684366@
level $1638$ complete, p/sec ratio: @2.0467484711568686@
level $1639$ complete, p/sec ratio: @2.53305543850067@
level $1640$ complete, p/sec ratio: @1.8634486843775568@
level $1641$ complete, p/sec ratio: @2.3629968402320287@
level $1642$ complete, p/sec ratio: @2.1585783770657088@
level $1643$ complete, p/sec ratio: @2.6204334952739368@
level $1644$ complete, p/sec ratio: @3.50333764097012@
level $1645$ complete, p/sec ratio: @2.10722736677924@
level $1646$ complete, p/sec ratio: @1.936324842908735@
level $1647$ complete, p/sec ratio: @2.1344880149923484@
level $1648$ complete, p/sec ratio: @2.4286749136866677@
level $1649$ complete, p/sec ratio: @1.8738862853520428@
level $1650$ complete, p/sec ratio: @3.492358914348324@
level $1651$ complete, p/sec ratio: @2.783706332198692@
level $1652$ complete, p/sec ratio: @2.4493277530434345@
level $1653$ complete, p/sec ratio: @2.1986405697056735@
level $1654$ complete, p/sec ratio: @2.9722292042766227@
level $1655$ complete, p/sec ratio: @2.937963006688782@
level $1656$ complete, p/sec ratio: @2.2869805320852@
level $1657$ complete, p/sec ratio: @1.7394954151157016@
level $1658$ complete, p/sec ratio: @2.9915180089668865@
level $1659$ complete, p/sec ratio: @3.361359748512471@
level $1660$ complete, p/sec ratio: @2.206588298301329@
level $1661$ complete, p/sec ratio: @1.5879427737581966@
level $1662$ complete, p/sec ratio: @2.468564453101385@
level $1663$ complete, p/sec ratio: @2.342719544020673@
level $1664$ complete, p/sec ratio: @2.264320955553069@
level $1665$ complete, p/sec ratio: @2.211330964676924@
level $1666$ complete, p/sec ratio: @2.0906086388646945@
level $1667$ complete, p/sec ratio: @2.158871435759057@
level $1668$ complete, p/sec ratio: @2.308590843839488@
level $1669$ complete, p/sec ratio: @2.5690251902552648@
level $1670$ complete, p/sec ratio: @1.7401026998791211@
level $1671$ complete, p/sec ratio: @2.857691224883515@
level $1672$ complete, p/sec ratio: @3.350471129977645@
level $1673$ complete, p/sec ratio: @1.54851860980707@
level $1674$ complete, p/sec ratio: @2.2132121622989667@
level $1675$ complete, p/sec ratio: @1.7567999239056984@
level $1676$ complete, p/sec ratio: @2.610311454918304@
level $1677$ complete, p/sec ratio: @3.498387540070861@
level $1678$ complete, p/sec ratio: @2.023311480961333@
level $1679$ complete, p/sec ratio: @3.215881200856565@
level $1680$ complete, p/sec ratio: @1.9639472052663771@
level $1681$ complete, p/sec ratio: @2.5512889318787826@
level $1682$ complete, p/sec ratio: @1.5789008616570097@
level $1683$ complete, p/sec ratio: @2.2197092948584265@
level $1684$ complete, p/sec ratio: @1.573052831883694@
level $1685$ complete, p/sec ratio: @2.540222957934368@
level $1686$ complete, p/sec ratio: @2.469585136459545@
level $1687$ complete, p/sec ratio: @2.9088362806924275@
level $1688$ complete, p/sec ratio: @2.2764499156418028@
level $1689$ complete, p/sec ratio: @3.5281515904754133@
level $1690$ complete, p/sec ratio: @1.7397009122096723@
level $1691$ complete, p/sec ratio: @2.255511990227092@
level $1692$ complete, p/sec ratio: @1.5393868577919205@
level $1693$ complete, p/sec ratio: @2.266743631194602@
level $1694$ complete, p/sec ratio: @2.0855672355056374@
level $1695$ complete, p/sec ratio: @2.7549590383974425@
level $1696$ complete, p/sec ratio: @1.73866021810438@
level $1697$ complete, p/sec ratio: @2.381418224826182@
level $1698$ complete, p/sec ratio: @2.590303976574542@
level $1699$ complete, p/sec ratio: @2.3996109268472923@
level $1700$ complete, p/sec ratio: @1.8376086913618876@
level $1701$ complete, p/sec ratio: @3.4597161223908@
level $1702$ complete, p/sec ratio: @1.6884211624267687@
level $1703$ complete, p/sec ratio: @2.8413116125450046@
level $1704$ complete, p/sec ratio: @2.283228874382793@
level $1705$ complete, p/sec ratio: @2.019824694748788@
level $1706$ complete, p/sec ratio: @1.8610071153132512@
level $1707$ complete, p/sec ratio: @2.9150527689517256@
level $1708$ complete, p/sec ratio: @1.6731578945268886@
level $1709$ complete, p/sec ratio: @2.357210517721064@
level $1710$ complete, p/sec ratio: @1.6142222229824406@
level $1711$ complete, p/sec ratio: @2.9120990092965005@
level $1712$ complete, p/sec ratio: @2.5139212233270953@
level $1713$ complete, p/sec ratio: @1.8199147849016164@
level $1714$ complete, p/sec ratio: @1.9101551234326646@
level $1715$ complete, p/sec ratio: @3.025939882099792@
level $1716$ complete, p/sec ratio: @1.5724765155786196@
level $1717$ complete, p/sec ratio: @2.813962687735751@
level $1718$ complete, p/sec ratio: @1.6019788984941998@
level $1719$ complete, p/sec ratio: @2.6789576616128645@
level $1720$ complete, p/sec ratio: @2.063275205765663@
level $1721$ complete, p/sec ratio: @2.8401779428313545@
level $1722$ complete, p/sec ratio: @2.4987088500290167@
level $1723$ complete, p/sec ratio: @3.22752717205995@
level $1724$ complete, p/sec ratio: @1.831359658617009@
level $1725$ complete, p/sec ratio: @2.959627067673965@
level $1726$ complete, p/sec ratio: @1.6370078683303761@
level $1727$ complete, p/sec ratio: @3.1391222268713133@
level $1728$ complete, p/sec ratio: @3.0002382295132017@
level $1729$ complete, p/sec ratio: @1.5569028589384961@
level $1730$ complete, p/sec ratio: @2.1183290056807573@
level $1731$ complete, p/sec ratio: @2.869367559339334@
level $1732$ complete, p/sec ratio: @1.8226557737950022@
level $1733$ complete, p/sec ratio: @1.8633833235350072@
level $1734$ complete, p/sec ratio: @2.0235162800418025@
level $1735$ complete, p/sec ratio: @1.933291407929199@
level $1736$ complete, p/sec ratio: @2.2786769223011833@
level $1737$ complete, p/sec ratio: @2.6553300265633637@
level $1738$ complete, p/sec ratio: @1.703761973729232@
level $1739$ complete, p/sec ratio: @3.590554287048721@
level $1740$ complete, p/sec ratio: @2.861248144264239@
level $1741$ complete, p/sec ratio: @2.7460942621884734@
level $1742$ complete, p/sec ratio: @2.3240346904620295@
level $1743$ complete, p/sec ratio: @3.4894489952532672@
level $1744$ complete, p/sec ratio: @2.4072378176068345@
level $1745$ complete, p/sec ratio: @2.498049265440443@
level $1746$ complete, p/sec ratio: @2.18947639156115@
level $1747$ complete, p/sec ratio: @1.5502173590446415@
level $1748$ complete, p/sec ratio: @2.431147165241769@
level $1749$ complete, p/sec ratio: @1.8832750446425965@
level $1750$ complete, p/sec ratio: @1.9556028438747164@
level $1751$ complete, p/sec ratio: @2.5970894202170887@
level $1752$ complete, p/sec ratio: @2.4616544836774197@
level $1753$ complete, p/sec ratio: @2.9660107763176673@
level $1754$ complete, p/sec ratio: @3.4830042031295676@
level $1755$ complete, p/sec ratio: @2.6820914030215417@
level $1756$ complete, p/sec ratio: @2.5804215544597686@
level $1757$ complete, p/sec ratio: @3.179375054794828@
level $1758$ complete, p/sec ratio: @3.3568931000073605@
level $1759$ complete, p/sec ratio: @2.4646020959664137@
level $1760$ complete, p/sec ratio: @2.6184947000165155@
level $1761$ complete, p/sec ratio: @3.0233810288661864@
level $1762$ complete, p/sec ratio: @2.710802207587449@
level $1763$ complete, p/sec ratio: @2.8859951655038287@
level $1764$ complete, p/sec ratio: @1.5468902622865872@
level $1765$ complete, p/sec ratio: @2.158434821047897@
level $1766$ complete, p/sec ratio: @2.3665847111314235@
level $1767$ complete, p/sec ratio: @2.680621565191775@
level $1768$ complete, p/sec ratio: @2.66718834451293@
level $1769$ complete, p/sec ratio: @2.7848559842137255@
level $1770$ complete, p/sec ratio: @2.0468301353022254@
level $1771$ complete, p/sec ratio: @3.2893327535981314@
level $1772$ complete, p/sec ratio: @3.110495753245669@
level $1773$ complete, p/sec ratio: @2.0880419038798705@
level $1774$ complete, p/sec ratio: @2.1612422729360095@
level $1775$ complete, p/sec ratio: @2.364631259193198@
level $1776$ complete, p/sec ratio: @2.2313238118186005@
level $1777$ complete, p/sec ratio: @2.0211500941503764@
level $1778$ complete, p/sec ratio: @2.0466882851176162@
level $1779$ complete, p/sec ratio: @1.9428955888462633@
level $1780$ complete, p/sec ratio: @1.993189285364433@
level $1781$ complete, p/sec ratio: @2.727932688754481@
level $1782$ complete, p/sec ratio: @1.7720105385006046@
level $1783$ complete, p/sec ratio: @2.5130518493575784@
level $1784$ complete, p/sec ratio: @3.283372409491434@
level $1785$ complete, p/sec ratio: @2.6445869708225103@
level $1786$ complete, p/sec ratio: @2.295316438762091@
level $1787$ complete, p/sec ratio: @2.1326070695619967@
level $1788$ complete, p/sec ratio: @2.1755315051859636@
level $1789$ complete, p/sec ratio: @2.2488683545439345@
level $1790$ complete, p/sec ratio: @2.853342049377306@
level $1791$ complete, p/sec ratio: @2.3599114816982802@
level $1792$ complete, p/sec ratio: @2.655902954354271@
level $1793$ complete, p/sec ratio: @1.7540499777528114@
level $1794$ complete, p/sec ratio: @2.3768536588133466@
level $1795$ complete, p/sec ratio: @1.859598041557718@
level $1796$ complete, p/sec ratio: @2.9373502636955684@
level $1797$ complete, p/sec ratio: @1.982822385017492@
level $1799$ complete, p/sec ratio: @3.2429564975464067@
level $1800$ complete, p/sec ratio: @2.379469622326344@
level $1801$ complete, p/sec ratio: @3.207288923451205@
level $1802$ complete, p/sec ratio: @2.0709383689317464@
level $1803$ complete, p/sec ratio: @2.336329434078161@
level $1804$ complete, p/sec ratio: @3.21221326377308@
level $1805$ complete, p/sec ratio: @2.5360805685236247@
level $1806$ complete, p/sec ratio: @2.495457355304406@
level $1807$ complete, p/sec ratio: @2.1584737308163198@
level $1808$ complete, p/sec ratio: @2.404328524988661@
level $1809$ complete, p/sec ratio: @2.8906021810355234@
level $1810$ complete, p/sec ratio: @2.206527721001434@
level $1811$ complete, p/sec ratio: @2.93566170516063@
level $1812$ complete, p/sec ratio: @2.590022923827049@
level $1813$ complete, p/sec ratio: @2.1473611564564985@
level $1814$ complete, p/sec ratio: @2.4504535208422276@
level $1815$ complete, p/sec ratio: @2.7415600360682943@
level $1816$ complete, p/sec ratio: @2.0325325216092813@
level $1817$ complete, p/sec ratio: @2.6936996390733072@
level $1818$ complete, p/sec ratio: @2.1973548847803306@
level $1819$ complete, p/sec ratio: @2.1462500582065447@
level $1820$ complete, p/sec ratio: @3.3268499659909923@
level $1821$ complete, p/sec ratio: @1.76666089871392@
level $1822$ complete, p/sec ratio: @2.6530789900856373@
level $1823$ complete, p/sec ratio: @2.7670898912810817@
level $1824$ complete, p/sec ratio: @2.3102772621522614@
level $1825$ complete, p/sec ratio: @2.3860701877638797@
level $1826$ complete, p/sec ratio: @2.0572695066607896@
level $1827$ complete, p/sec ratio: @2.839174147434418@
level $1828$ complete, p/sec ratio: @2.103619017896722@
level $1829$ complete, p/sec ratio: @3.236744713176134@
level $1830$ complete, p/sec ratio: @2.7310291763237102@
level $1831$ complete, p/sec ratio: @2.2075733674910003@
level $1832$ complete, p/sec ratio: @2.7061208307390308@
level $1833$ complete, p/sec ratio: @1.9862528494672005@
level $1834$ complete, p/sec ratio: @2.2437606283144316@
level $1835$ complete, p/sec ratio: @2.789327987478618@
level $1836$ complete, p/sec ratio: @2.7758640245903536@
level $1837$ complete, p/sec ratio: @1.8686920684514372@
level $1838$ complete, p/sec ratio: @3.337656076169588@
level $1839$ complete, p/sec ratio: @2.0460601724439313@
level $1840$ complete, p/sec ratio: @2.629874409016083@
level $1841$ complete, p/sec ratio: @1.8488324926451682@
level $1842$ complete, p/sec ratio: @2.483436524581198@
level $1843$ complete, p/sec ratio: @1.9537115849992757@
level $1844$ complete, p/sec ratio: @2.436185117497641@
level $1845$ complete, p/sec ratio: @2.7492432864135834@
level $1846$ complete, p/sec ratio: @2.7563435361675244@
level $1847$ complete, p/sec ratio: @2.3935640813262027@
level $1848$ complete, p/sec ratio: @2.275804765360884@
level $1849$ complete, p/sec ratio: @2.6228949651133115@
level $1850$ complete, p/sec ratio: @3.434119657769153@
level $1851$ complete, p/sec ratio: @1.8085116853964955@
level $1852$ complete, p/sec ratio: @2.415390048005668@
level $1853$ complete, p/sec ratio: @2.100186497242117@
level $1854$ complete, p/sec ratio: @2.3868780889022947@
level $1855$ complete, p/sec ratio: @2.4854922021798207@
level $1856$ complete, p/sec ratio: @2.8953878225728236@
level $1857$ complete, p/sec ratio: @2.9140340623390655@
level $1858$ complete, p/sec ratio: @1.8359217535560928@
level $1859$ complete, p/sec ratio: @2.706491435015815@
level $1860$ complete, p/sec ratio: @2.6990291399101665@
level $1861$ complete, p/sec ratio: @1.9832643034422226@
level $1863$ complete, p/sec ratio: @2.005255983950228@
level $1864$ complete, p/sec ratio: @2.0244021446295952@
level $1865$ complete, p/sec ratio: @1.7767904832352626@
level $1866$ complete, p/sec ratio: @2.2112937119447196@
level $1867$ complete, p/sec ratio: @1.406693395278156@
level $1868$ complete, p/sec ratio: @1.6469691935811495@
level $1869$ complete, p/sec ratio: @2.310254177014389@
level $1870$ complete, p/sec ratio: @1.9019904163033554@
level $1871$ complete, p/sec ratio: @1.7915878636496378@
level $1872$ complete, p/sec ratio: @1.7796153451846601@
level $1873$ complete, p/sec ratio: @2.0707107309035853@
